laptop_time_iso,esp_ms,ax,ay,az,motion,avg_motion_10s,state
2026-03-14T02:08:28.789051,1116573,-388,876,16472,357.76,205.12,RUNNING
2026-03-14T02:08:28.888639,1116673,-480,876,16400,305.86,205.12,RUNNING
2026-03-14T02:08:28.994320,1116773,-692,916,16516,273.39,205.12,RUNNING
2026-03-14T02:08:29.088641,1116873,-892,932,16784,274.16,205.12,RUNNING
2026-03-14T02:08:29.188672,1116973,-740,948,16532,271.22,205.12,RUNNING
2026-03-14T02:08:29.288730,1117073,-1128,864,16964,302.99,205.12,RUNNING
2026-03-14T02:08:29.388320,1117173,-56,820,16016,425.99,205.12,RUNNING
2026-03-14T02:08:29.494047,1117273,-1292,976,16884,515.70,205.12,RUNNING
2026-03-14T02:08:29.588756,1117373,-1040,888,16776,446.24,261.15,RUNNING
2026-03-14T02:08:29.689474,1117473,-1072,1008,16804,372.52,261.15,RUNNING
2026-03-14T02:08:29.788725,1117573,-776,892,16596,346.91,261.15,RUNNING
2026-03-14T02:08:29.888470,1117673,-548,764,16476,308.81,261.15,RUNNING
2026-03-14T02:08:29.988776,1117773,-208,804,16460,257.16,261.15,RUNNING
2026-03-14T02:08:30.088632,1117873,-1140,860,16824,283.51,261.15,RUNNING
2026-03-14T02:08:30.188732,1117973,-1024,836,16856,236.67,261.15,RUNNING
2026-03-14T02:08:30.288607,1118073,-696,796,16720,221.85,261.15,RUNNING
2026-03-14T02:08:30.388389,1118173,-768,840,16760,190.05,261.15,RUNNING
2026-03-14T02:08:30.491878,1118273,-256,792,16660,177.05,261.15,RUNNING
2026-03-14T02:08:30.588600,1118373,-252,820,16444,183.78,261.15,RUNNING
2026-03-14T02:08:30.688607,1118473,-444,780,16636,185.59,261.15,RUNNING
2026-03-14T02:08:30.788527,1118573,-692,688,16692,163.04,261.15,RUNNING
2026-03-14T02:08:30.888718,1118673,-752,768,16728,141.25,261.15,RUNNING
2026-03-14T02:08:31.003535,1118773,-144,800,16172,218.44,261.15,RUNNING
2026-03-14T02:08:31.088672,1118873,-1440,1036,17128,364.02,261.15,RUNNING
2026-03-14T02:08:31.188513,1118973,-676,936,16548,412.14,261.15,RUNNING
2026-03-14T02:08:31.288453,1119073,-640,620,16548,340.88,261.15,RUNNING
2026-03-14T02:08:31.388480,1119173,-256,768,16608,289.56,261.15,RUNNING
2026-03-14T02:08:31.492007,1119273,-436,648,16352,283.71,261.15,RUNNING
2026-03-14T02:08:31.588557,1119373,-312,656,16620,280.39,261.15,RUNNING
2026-03-14T02:08:31.688589,1119473,-1280,632,17092,322.73,261.15,RUNNING
2026-03-14T02:08:31.788973,1119573,-1004,732,16944,293.80,261.15,RUNNING
2026-03-14T02:08:31.888644,1119673,-568,676,16692,290.27,261.15,RUNNING
2026-03-14T02:08:31.992202,1119773,-1604,888,17332,366.42,261.15,RUNNING
2026-03-14T02:08:32.088565,1119873,-1028,772,16676,427.05,261.15,RUNNING
2026-03-14T02:08:32.188365,1119973,-1512,844,17368,481.33,261.15,RUNNING
2026-03-14T02:08:32.288504,1120073,-472,668,16688,528.99,261.15,RUNNING
2026-03-14T02:08:32.388669,1120173,-1420,852,17232,542.37,261.15,RUNNING
2026-03-14T02:08:32.500249,1120273,-1132,636,17036,485.42,261.15,RUNNING
2026-03-14T02:08:32.588959,1120373,-1112,760,17128,415.23,261.15,RUNNING
2026-03-14T02:08:32.688510,1120473,-924,648,16800,402.23,261.15,RUNNING
2026-03-14T02:08:32.788874,1120573,-1304,732,17096,388.04,261.15,RUNNING
2026-03-14T02:08:32.888502,1120673,-960,804,16924,352.58,261.15,RUNNING
2026-03-14T02:08:32.989977,1120773,-1116,696,16876,296.87,261.15,RUNNING
2026-03-14T02:08:33.088330,1120873,-936,692,16828,254.05,261.15,RUNNING
2026-03-14T02:08:33.188513,1120973,-1092,724,17000,241.11,261.15,RUNNING
2026-03-14T02:08:33.288445,1121073,-788,648,16732,249.44,261.15,RUNNING
2026-03-14T02:08:33.388418,1121173,-524,792,16556,236.91,261.15,RUNNING
2026-03-14T02:08:33.499564,1121273,-780,772,16740,228.96,261.15,RUNNING
2026-03-14T02:08:33.589043,1121373,-1024,812,17064,248.59,261.15,RUNNING
2026-03-14T02:08:33.688123,1121473,-632,712,16672,278.51,261.15,RUNNING
2026-03-14T02:08:33.788434,1121573,-1044,804,16844,263.71,261.15,RUNNING
2026-03-14T02:08:33.888775,1121673,-468,616,16556,274.10,261.15,RUNNING
2026-03-14T02:08:33.988331,1121773,-1148,892,16984,309.73,261.15,RUNNING
2026-03-14T02:08:34.088470,1121873,-644,740,16696,311.81,261.15,RUNNING
2026-03-14T02:08:34.188504,1121973,-792,880,16352,315.09,261.15,RUNNING
2026-03-14T02:08:34.288240,1122073,-1180,660,16880,355.44,261.15,RUNNING
2026-03-14T02:08:34.388627,1122173,-1176,808,17116,334.89,261.15,RUNNING
2026-03-14T02:08:34.490007,1122273,-1212,724,16936,307.13,261.15,RUNNING
2026-03-14T02:08:34.589002,1122373,-880,704,16992,258.07,261.15,RUNNING
2026-03-14T02:08:34.688838,1122473,-1116,848,16928,219.43,261.15,RUNNING
2026-03-14T02:08:34.788452,1122573,-728,892,16700,224.26,261.15,RUNNING
2026-03-14T02:08:34.888429,1122673,-476,656,16524,219.14,261.15,RUNNING
2026-03-14T02:08:34.988547,1122773,-1180,776,16664,212.07,261.15,RUNNING
2026-03-14T02:08:35.088911,1122873,-1100,684,16940,221.72,261.15,RUNNING
2026-03-14T02:08:35.188298,1122973,-1676,848,17268,250.29,261.15,RUNNING
2026-03-14T02:08:35.288184,1123073,-384,832,16664,327.76,261.15,RUNNING
2026-03-14T02:08:35.388065,1123173,-464,740,16468,304.41,261.15,RUNNING
2026-03-14T02:08:35.493977,1123273,-1444,752,17120,376.71,261.15,RUNNING
2026-03-14T02:08:35.588294,1123373,-1116,672,16760,378.51,261.15,RUNNING
2026-03-14T02:08:35.688028,1123473,-928,896,16868,329.58,261.15,RUNNING
2026-03-14T02:08:35.788230,1123573,-1464,780,17096,316.88,261.15,RUNNING
2026-03-14T02:08:35.888204,1123673,-476,948,16492,376.88,261.15,RUNNING
2026-03-14T02:08:35.996958,1123773,-864,716,16808,366.52,261.15,RUNNING
2026-03-14T02:08:36.088399,1123873,-948,780,16568,342.31,261.15,RUNNING
2026-03-14T02:08:36.188307,1123973,-792,840,16836,327.87,261.15,RUNNING
2026-03-14T02:08:36.288182,1124073,-1112,744,16992,299.29,261.15,RUNNING
2026-03-14T02:08:36.388290,1124173,-1184,784,16904,260.00,261.15,RUNNING
2026-03-14T02:08:36.488901,1124273,-1288,764,16928,218.71,261.15,RUNNING
2026-03-14T02:08:36.588304,1124373,-1608,720,17104,215.41,261.15,RUNNING
2026-03-14T02:08:36.688298,1124473,-1344,652,16840,228.54,261.15,RUNNING
2026-03-14T02:08:36.788397,1124573,-1256,816,16712,210.29,261.15,RUNNING
2026-03-14T02:08:36.888313,1124673,-1640,800,17224,269.89,261.15,RUNNING
2026-03-14T02:08:36.988563,1124773,-820,844,17064,260.17,261.15,RUNNING
2026-03-14T02:08:37.088053,1124873,-480,948,16236,363.42,261.15,RUNNING
2026-03-14T02:08:37.188371,1124973,-804,872,16724,387.15,261.15,RUNNING
2026-03-14T02:08:37.288331,1125073,-1236,904,16884,351.18,261.15,RUNNING
2026-03-14T02:08:37.388207,1125173,-1488,880,16948,302.84,261.15,RUNNING
2026-03-14T02:08:37.493145,1125273,-1348,900,17044,263.62,261.15,RUNNING
2026-03-14T02:08:37.588215,1125373,-732,720,16652,294.88,261.15,RUNNING
2026-03-14T02:08:37.688193,1125473,-708,860,16740,258.61,261.15,RUNNING
2026-03-14T02:08:37.788455,1125573,-1504,924,17104,287.27,261.15,RUNNING
2026-03-14T02:08:37.888101,1125673,-1092,736,16948,270.80,261.15,RUNNING
2026-03-14T02:08:37.988487,1125773,-1568,1020,16936,229.24,261.15,RUNNING
